,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Textura,Nombre,Módulo de Poisson(Pa),Resistividad,Susceptibilidad(X10⁶)
10114,354645349.61,30991043.63,49.17,Afanítica,Andesita,0.25,8975326.35,19970.82
10115,194292845.82,23155596.98,57.41,Intermedia-Gruesa,Granito,0.26,882070.23,66.25
10116,159418326.08,21326096.98,45.79, foliada,Gneiss,0.31,378442.61,295.28
10117,197048116.22,29920587.05,34.27, foliada,Gneiss,0.33,553259.57,268.6
10118,264517424.26,30623909.64,36.12,Fanerítica,Gabro,0.17,924560.82,850.33
10119,204991012.98,37386553.73,62.95,Intermedia-Gruesa,Granito,0.37,249153.54,28.17
10120,166049422.08,41397482.27,48.12,Porfídica,Basalto,0.33,1089107.31,43731.33
10121,185903983.85,17530217.95,35.34, foliada,Gneiss,0.08,381449.07,180.26
10122,329591257.73,26113675.26,49.26,Afanítica,Andesita,0.28,6641066.73,18625.2
10123,204958832.15,39963138.93,59.74,Intermedia-Gruesa,Granito,0.13,434775.78,37.93
10124,145900083.31,43363039.52,53.34,Porfídica,Basalto,0.23,568297.62,44767.68
10125,215418038.15,30429323.59,31.98,Fanerítica,Gabro,0.19,624014.13,894.11
10126,190497739.11,35820050.55,54.84,Intermedia-Gruesa,Granito,0.2,215817.55,10.79
10127,223578728.22,56269204.7,52.71,Porfídica,Basalto,0.15,305059.41,48173.26
10128,232620369.94,23219147.32,28.88, foliada,Gneiss,0.24,322450.95,264.67
10129,154051814.31,1864767.53,45.0,Intermedia-Gruesa,Granito,0.34,364125.84,95.44
10130,59907491.83,23157881.59,39.77,Detrítica,Arenisca,0.09,9003.24,510.19
10131,152042380.23,16452169.02,36.11,Detrítica,Arenisca,0.39,1541.77,372.87
10132,130607879.03,50323684.56,38.77, foliada,Gneiss,0.29,27502.46,539.54
10133,180409680.58,21324596.9,37.39, foliada,Gneiss,0.33,122366.04,399.34
10134,123241108.75,21842137.59,33.49,Detrítica,Arenisca,0.1,2256.6,309.53
10135,157239884.53,19155243.52,47.75,Intermedia-Gruesa,Granito,0.04,351628.99,43.1
10136,189057821.78,23199728.76,56.13,Porfídica,Basalto,0.24,400575.49,18630.41
10137,335421748.79,28113851.32,46.52,Afanítica,Andesita,0.28,5948952.95,20476.79
10138,253506436.61,27383425.05,33.79,Fanerítica,Gabro,0.19,482546.35,738.58
10139,231191187.81,31117229.98,35.01,Fanerítica,Gabro,0.06,1089242.13,932.78
10140,157190615.75,50705639.36,47.03,Detrítica,Arenisca,0.07,9686.34,336.95
10141,266629716.84,52734375.31,50.77,Porfídica,Basalto,0.26,689072.42,44163.79
10142,58032923.13,15161721.59,39.77,Detrítica,Arenisca,0.09,2768.99,277.14
10143,232549703.87,31074913.25,31.84,Fanerítica,Gabro,0.13,101229.53,1042.93
10144,137669779.12,40074635.8,50.39,Porfídica,Basalto,0.31,347267.41,37522.2
10145,275744336.86,29458933.04,36.05,Fanerítica,Gabro,0.17,32025.92,746.46
10146,204210444.89,28092956.35,34.36,Fanerítica,Gabro,0.22,367253.8,629.88
10147,250420531.84,29458053.84,36.93,Fanerítica,Gabro,0.21,191513.72,858.45
10148,173855032.32,19996057.31,55.39,Intermedia-Gruesa,Granito,0.26,9472.98,59.16
10149,176397305.55,24349292.39,33.63, foliada,Gneiss,0.38,318542.68,180.13
10150,259189163.14,29574469.36,30.75,Fanerítica,Gabro,0.18,35861.47,601.02
10151,248402255.72,30409699.41,30.14,Fanerítica,Gabro,0.16,15737.12,652.27
10152,210009267.69,30170424.13,30.66,Fanerítica,Gabro,0.1,690329.88,346.2
10153,185114485.15,33879338.68,45.14,Intermedia-Gruesa,Granito,0.22,549147.16,83.18
10154,174289829.36,2219424.26,36.5, foliada,Gneiss,0.32,173022.53,439.15
10155,156650578.54,24355915.9,56.84,Porfídica,Basalto,0.25,252860.19,47664.13
10156,202691566.49,30373509.74,30.99,Fanerítica,Gabro,0.11,372356.24,521.19
10157,211348450.78,54082516.12,46.83,Porfídica,Basalto,0.25,651555.67,49719.42
10158,188821154.24,30276758.94,45.01,Intermedia-Gruesa,Granito,0.62,725539.49,85.32
10159,231555083.22,29488115.9,38.89,Fanerítica,Gabro,0.14,621430.5,559.83
10160,252342397.53,31562049.63,34.39,Fanerítica,Gabro,0.16,20627.75,534.04
10161,189931719.54,36671080.18,36.61, foliada,Gneiss,0.12,984730.3,204.25
10162,218849765.89,29821317.82,35.1,Fanerítica,Gabro,0.11,515947.92,759.76
10163,163595200.82,50192345.11,47.96,Intermedia-Gruesa,Granito,0.09,1158693.48,41.92
10164,175514743.46,35411510.9,50.43,Intermedia-Gruesa,Granito,0.28,459741.06,91.34
10165,232078999.02,71103865.62,50.19,Porfídica,Basalto,0.33,617502.97,49113.48
10166,239352219.68,7963238.44,44.82,Intermedia-Gruesa,Granito,0.18,265260.79,3.97
10167,156259809.65,23788463.65,36.02, foliada,Gneiss,0.13,538412.94,371.58
10168,164409965.96,23340573.01,35.19, foliada,Gneiss,0.12,105381.39,261.11
10169,205921526.85,45887003.88,59.53,Intermedia-Gruesa,Granito,0.33,833995.44,72.97
10170,283235599.39,30336306.24,40.54,Afanítica,Andesita,0.31,4430028.31,28929.38
10171,186593857.54,29556943.57,27.91, foliada,Gneiss,0.04,479997.37,343.33
10172,185454435.21,15603973.2,34.85, foliada,Gneiss,0.28,341354.99,262.33
10173,212126776.47,41069239.73,47.96,Intermedia-Gruesa,Granito,0.36,558001.18,33.6
10174,245541238.28,28355026.7,34.48,Fanerítica,Gabro,0.16,708215.5,1037.68
10175,203203602.09,39838870.54,57.11,Intermedia-Gruesa,Granito,0.26,627724.78,135.93
10176,276535681.05,29908854.94,41.33,Fanerítica,Gabro,0.11,560488.67,308.77
10177,217548338.26,27622254.13,54.85,Intermedia-Gruesa,Granito,0.28,221319.39,123.37
10178,175180807.83,49919527.14,53.6,Intermedia-Gruesa,Granito,0.29,123311.08,50.05
10179,224065558.34,32557002.54,60.65,Intermedia-Gruesa,Granito,0.24,659228.89,91.73
10180,200180757.28,31740527.73,32.38, foliada,Gneiss,0.1,784565.75,168.26
10181,109320228.23,27990072.9,51.38,Afanítica,Andesita,0.31,3540815.97,13125.96
10182,318359528.18,23697356.02,35.0,Afanítica,Andesita,0.22,4537168.02,24442.59
10183,254277300.78,26470670.65,50.27,Afanítica,Andesita,0.22,3689549.97,19744.5
10184,200887477.93,28218469.94,33.79, foliada,Gneiss,0.18,611457.45,207.91
10185,192071957.15,26400794.42,40.32, foliada,Gneiss,0.34,556031.0,15.54
10186,208640966.41,82145152.43,49.7,Porfídica,Basalto,0.32,612663.93,38820.03
10187,315784306.63,30664254.16,32.54,Fanerítica,Gabro,0.22,144128.41,639.83
10188,213429860.81,28428767.13,40.55,Fanerítica,Gabro,0.22,755357.86,921.04
10189,94501248.26,17507494.75,38.56,Detrítica,Arenisca,0.12,5199.28,249.96
10190,104305294.08,38775585.43,53.19,Porfídica,Basalto,0.41,890959.83,38187.74
10191,144254707.06,51948370.22,50.46,Intermedia-Gruesa,Granito,0.42,732304.25,14.09
10192,165249966.14,25369871.26,35.38, foliada,Gneiss,0.13,794172.49,257.14
10193,85338259.79,27197996.83,44.46,Detrítica,Arenisca,0.13,4331.78,366.0
10194,88969322.71,22915042.33,34.2,Detrítica,Arenisca,0.27,11088.4,100.35
10195,109710088.49,55939795.22,32.59,Detrítica,Arenisca,0.12,311.63,355.83
10196,206583564.61,34341891.71,51.69,Intermedia-Gruesa,Granito,0.59,730326.59,15.01
10197,59069726.1,21003119.15,37.86,Detrítica,Arenisca,0.06,2009.65,221.89
10198,189707828.19,16178048.17,47.51,Intermedia-Gruesa,Granito,0.02,640828.44,53.22
10199,310846775.7,24122465.29,38.46,Afanítica,Andesita,0.26,7431944.12,22169.03
10200,248540253.69,30573530.35,36.02,Fanerítica,Gabro,0.23,988717.92,870.73
10201,180399360.78,31155527.11,54.79,Intermedia-Gruesa,Granito,0.32,418191.88,96.48
10202,264212074.71,30118316.52,41.18,Fanerítica,Gabro,0.12,105855.99,780.07
10203,183944924.25,34438234.06,55.19,Porfídica,Basalto,0.32,168335.32,48221.62
10204,286993346.47,30884195.19,31.45,Fanerítica,Gabro,0.2,489179.9,860.29
10205,151034795.43,27671088.1,27.84, foliada,Gneiss,0.37,406454.65,405.26
10206,168648406.76,35277841.5,31.29, foliada,Gneiss,0.19,599449.73,93.28
10207,181742353.67,39959819.05,35.84, foliada,Gneiss,0.24,614540.71,189.71
10208,251819795.53,5421891.44,62.79,Intermedia-Gruesa,Granito,0.18,555118.64,48.85
10209,229588529.43,30977300.32,51.32,Intermedia-Gruesa,Granito,0.17,186476.52,95.73
10210,178180203.73,21963079.7,31.35, foliada,Gneiss,0.21,393472.0,293.18
10211,291609140.84,29586497.41,38.15,Fanerítica,Gabro,0.12,94093.5,605.89
10212,230180048.16,30101563.78,36.65,Fanerítica,Gabro,0.17,766384.01,1072.88
10213,169258551.01,21004510.7,36.93, foliada,Gneiss,0.35,292664.47,397.11
10214,376301893.84,29794584.62,46.22,Afanítica,Andesita,0.3,4878624.04,33333.86
10215,178736771.7,24892748.78,50.01,Porfídica,Basalto,0.42,428534.57,31463.53
10216,194578155.84,35349598.66,33.07, foliada,Gneiss,0.36,922372.76,177.81
10217,195354886.18,28945298.7,38.26,Afanítica,Andesita,0.25,9216185.8,18472.96
10218,195742958.26,39274862.0,53.53,Porfídica,Basalto,0.27,823906.33,40627.05
10219,166268554.73,24336549.6,37.97, foliada,Gneiss,0.34,1118253.41,13.12
10220,164779223.47,31310141.93,49.74,Intermedia-Gruesa,Granito,0.26,377439.35,38.06
10221,177512922.67,16721585.86,36.68, foliada,Gneiss,0.34,222215.03,227.75
10222,252966395.81,29244274.32,36.14,Fanerítica,Gabro,0.26,370943.65,873.49
10223,197696863.02,37604851.61,38.21, foliada,Gneiss,0.49,543421.62,177.34
10224,245780365.01,29973165.86,31.38,Fanerítica,Gabro,0.08,30893.9,1098.88
10225,195785276.69,11171868.45,44.62, foliada,Gneiss,0.2,598008.77,529.28
10226,244053162.36,30116919.86,39.75,Fanerítica,Gabro,0.17,268492.34,807.59
10227,169751174.27,23508972.24,36.48,Afanítica,Andesita,0.31,5126446.17,22790.49
10228,169152203.14,42478204.63,35.66, foliada,Gneiss,0.29,539533.46,293.1
10229,150527669.97,9337157.7,34.41,Detrítica,Arenisca,0.23,3701.65,374.52
10230,146962033.78,48153149.67,42.23, foliada,Gneiss,0.38,375791.82,262.6
10231,216752044.18,19336627.56,49.28,Intermedia-Gruesa,Granito,0.5,352918.15,90.12
10232,110987803.04,39255547.5,5.21,Detrítica,Arenisca,0.13,3776.03,344.58
10233,190829833.17,26737965.83,52.7,Porfídica,Basalto,0.47,247788.24,31415.72
10234,178197153.71,27072711.56,38.28, foliada,Gneiss,0.27,557494.7,399.61
10235,169674166.62,52354735.07,39.18, foliada,Gneiss,0.31,406268.87,298.39
10236,195488290.5,34662619.88,39.32,Intermedia-Gruesa,Granito,0.62,668505.75,135.13
10237,140163453.26,10490003.88,36.17, foliada,Gneiss,0.26,443230.43,250.37
10238,255911685.32,30417858.59,39.0,Fanerítica,Gabro,0.18,1173272.46,734.28
10239,293762644.77,30502145.82,32.05,Fanerítica,Gabro,0.14,765828.18,593.02
10240,171213832.92,21360168.64,32.79, foliada,Gneiss,0.16,418228.01,437.72
10241,190069321.9,30992400.37,30.28,Fanerítica,Gabro,0.14,1068814.13,746.73
10242,206831962.61,76691223.43,51.58,Porfídica,Basalto,0.17,310109.98,40985.85
10243,225003709.88,39315179.48,50.29,Intermedia-Gruesa,Granito,0.34,306805.68,87.28
10244,174656964.91,42394870.03,34.4, foliada,Gneiss,0.06,342708.01,491.01
10245,205762329.83,33347079.26,52.74,Intermedia-Gruesa,Granito,0.25,528854.48,44.97
10246,93821780.71,23233035.45,23.29,Detrítica,Arenisca,0.35,374.75,448.65
10247,96659673.1,30834523.63,52.89,Detrítica,Arenisca,0.31,8746.58,537.9
10248,192067172.69,20712356.08,53.04,Intermedia-Gruesa,Granito,0.18,94065.7,61.56
10249,165536857.47,28332000.05,30.86, foliada,Gneiss,0.2,1046304.72,348.15
10250,253981507.2,30413245.77,30.86,Fanerítica,Gabro,0.18,635239.19,861.14
10251,195701712.74,29239311.71,37.16,Fanerítica,Gabro,0.22,1299777.12,921.78
10252,183633262.05,30307655.67,53.87,Intermedia-Gruesa,Granito,0.29,540637.01,127.98
10253,240652882.02,68511499.44,50.83,Porfídica,Basalto,0.21,1333230.85,42883.97
10254,287911242.37,28168953.8,37.59,Afanítica,Andesita,0.29,6442955.96,16776.51
10255,162900164.47,49397973.64,32.38, foliada,Gneiss,0.2,329733.03,570.54
10256,254800796.68,29080741.81,31.16,Fanerítica,Gabro,0.15,882857.23,936.54
10257,220430500.3,29713124.95,36.47,Fanerítica,Gabro,0.09,26809.37,1136.49
10258,192751307.23,46509641.32,58.75,Intermedia-Gruesa,Granito,0.16,1058350.87,68.57
10259,189177316.91,20624337.03,35.78, foliada,Gneiss,0.07,478499.25,303.15
10260,202493218.88,29168627.94,25.71, foliada,Gneiss,0.21,825028.46,137.09
10261,174670605.84,16087883.41,31.08, foliada,Gneiss,0.08,611676.42,312.63
10262,165543394.41,22694010.56,24.58, foliada,Gneiss,0.11,551853.25,318.4
10263,211894082.83,55795818.85,58.37,Porfídica,Basalto,0.3,1021483.07,51406.77
10264,216376435.62,2407244.59,54.59,Intermedia-Gruesa,Granito,0.07,337289.91,59.43
10265,227242475.58,34384630.26,59.03,Intermedia-Gruesa,Granito,0.21,612436.95,149.44
10266,189883086.69,35077158.81,53.32,Intermedia-Gruesa,Granito,0.4,742047.37,67.05
10267,186091169.45,38893914.47,57.25,Intermedia-Gruesa,Granito,0.45,317370.79,50.17
10268,301892095.11,33055550.02,41.15,Afanítica,Andesita,0.28,8656189.3,14774.28
10269,227059191.61,29440475.03,34.19,Fanerítica,Gabro,0.14,1365156.35,757.71
10270,165027000.55,45572736.48,62.09,Intermedia-Gruesa,Granito,0.03,707996.78,20.28
10271,289946308.32,31221442.81,43.89,Fanerítica,Gabro,0.17,7699.29,604.19
10272,222139494.17,41272590.01,53.17,Intermedia-Gruesa,Granito,0.34,425783.99,107.05
10273,160336315.67,30319587.53,40.27, foliada,Gneiss,0.27,1055311.96,586.24
10274,221621253.05,30663918.1,35.76,Fanerítica,Gabro,0.15,202716.39,831.21
10275,187408211.29,45305798.12,46.46, foliada,Gneiss,0.34,1040202.71,483.36
10276,231135093.57,28984574.83,33.5,Fanerítica,Gabro,0.07,8621.89,1051.64
10277,185800504.86,16764563.88,33.86, foliada,Gneiss,0.28,701724.95,190.39
10278,259273964.12,30517897.16,34.11,Fanerítica,Gabro,0.17,334857.79,755.3
10279,141916074.31,25560113.53,35.64, foliada,Gneiss,0.14,93778.95,220.82
10280,226177386.67,29284168.91,34.25,Fanerítica,Gabro,0.23,849944.19,962.33
10281,317267421.62,20285830.1,39.52,Afanítica,Andesita,0.29,3755789.13,15610.19
10282,261208616.17,45885204.03,49.25,Intermedia-Gruesa,Granito,0.2,491559.03,22.51
10283,110990697.81,32967538.63,40.4,Detrítica,Arenisca,0.39,3806.18,300.63
10284,185771478.38,13937793.1,32.47, foliada,Gneiss,0.11,224634.67,104.81
10285,308311880.78,30210027.4,36.14,Fanerítica,Gabro,0.15,920758.43,1245.79
10286,221227226.69,52083535.62,51.96,Intermedia-Gruesa,Granito,0.33,225739.89,110.98
10287,124196721.95,-2369251.62,49.57,Porfídica,Basalto,0.31,467748.84,35672.44
10288,230906770.96,22871228.7,39.25, foliada,Gneiss,0.15,354347.99,394.51
10289,200158022.02,18807805.37,38.45, foliada,Gneiss,0.1,617353.26,199.17
10290,177655379.27,34625317.3,46.34, foliada,Gneiss,0.01,320295.11,134.06
10291,89434612.05,11811792.0,47.53,Detrítica,Arenisca,0.22,2461.18,207.32
10292,166953806.79,39773181.02,25.71, foliada,Gneiss,0.29,1115167.72,210.03
10293,235903905.82,20183349.88,67.44,Intermedia-Gruesa,Granito,0.07,61596.49,18.79
10294,145012530.67,58239711.13,50.94,Porfídica,Basalto,0.54,1177820.82,37752.31
10295,143510968.55,15226930.29,36.96, foliada,Gneiss,0.3,845683.12,151.13
10296,280968094.47,30174254.69,43.39,Afanítica,Andesita,0.23,4336924.88,33896.66
10297,182453974.63,35708555.43,34.42, foliada,Gneiss,0.36,582365.04,380.27
10298,234279999.5,28527422.15,31.29,Fanerítica,Gabro,0.13,507436.25,946.96
10299,164169110.39,4310001.8,23.32,Detrítica,Arenisca,0.15,5859.01,350.37
10300,73936288.33,37241244.2,44.1,Detrítica,Arenisca,0.2,7909.18,76.89
10301,202995353.34,39779899.28,27.6, foliada,Gneiss,0.1,248416.86,294.69
10302,138920760.24,56064994.38,50.45,Intermedia-Gruesa,Granito,0.13,278337.27,29.92
10303,264088059.02,18988287.64,55.28,Porfídica,Basalto,0.16,877013.01,55410.0
10304,170355985.17,10342043.45,27.88, foliada,Gneiss,0.36,310970.54,292.05
10305,175918084.25,35087919.9,22.59, foliada,Gneiss,0.34,333521.88,482.23
10306,172364689.95,48840544.22,62.79,Intermedia-Gruesa,Granito,0.15,364495.18,55.31
10307,162149067.01,30558663.44,52.31,Porfídica,Basalto,0.4,502033.65,51476.43
10308,215968359.08,27701036.24,35.12,Fanerítica,Gabro,0.24,435671.65,528.5
10309,117553075.06,6806060.2,24.1,Detrítica,Arenisca,0.22,1455.75,299.24
10310,174471802.59,-5225248.48,49.87,Porfídica,Basalto,0.17,506742.79,29575.88
10311,210156950.07,29940681.3,38.64,Fanerítica,Gabro,0.12,538871.47,854.88
10312,226264451.66,31521377.94,37.0,Fanerítica,Gabro,0.2,355014.17,941.21
10313,287469068.25,30714112.3,37.93,Fanerítica,Gabro,0.18,855704.72,429.51
10314,204261900.83,56662656.4,37.4,Intermedia-Gruesa,Granito,0.1,412061.07,40.54
10315,174634714.57,41279796.77,39.18, foliada,Gneiss,0.02,666476.71,277.71
10316,216999325.22,43148065.01,51.56,Porfídica,Basalto,0.29,1069541.53,47682.88
10317,156734824.49,30894819.99,36.8, foliada,Gneiss,0.06,791752.01,318.14
10318,225108800.02,30549382.72,35.02,Fanerítica,Gabro,0.19,677900.62,651.3
10319,185718287.56,32407380.17,38.84,Fanerítica,Gabro,0.15,325763.18,895.95
10320,308685650.81,20958877.36,46.68,Afanítica,Andesita,0.3,6099373.11,17791.69
10321,163523818.41,-11540247.81,50.98,Porfídica,Basalto,0.24,545409.33,46928.64
10322,166351275.88,41758069.98,40.61, foliada,Gneiss,0.22,102308.76,127.61
10323,192891193.46,62497622.55,51.48,Intermedia-Gruesa,Granito,0.03,781243.75,50.85
10324,169741605.23,18035212.26,38.29, foliada,Gneiss,0.06,834080.41,446.15
10325,159006226.71,35028507.42,33.51, foliada,Gneiss,0.05,215073.88,236.19
10326,186479127.61,15569575.92,34.63, foliada,Gneiss,0.09,948483.83,304.56
10327,270377368.28,29399676.66,35.85,Fanerítica,Gabro,0.12,707077.17,645.95
10328,253600953.94,27894228.73,46.64,Afanítica,Andesita,0.24,7451189.13,28892.48
10329,199969386.75,40894800.56,50.52,Porfídica,Basalto,0.1,451494.08,34172.98
10330,246496964.04,29418148.08,32.06,Fanerítica,Gabro,0.19,212234.33,379.44
10331,327855227.36,34054117.56,43.61,Afanítica,Andesita,0.32,1006122.27,31981.1
10332,150232821.71,19459706.13,31.59, foliada,Gneiss,0.11,291536.8,93.73
10333,209955661.55,47017359.75,48.14,Intermedia-Gruesa,Granito,0.2,372089.8,72.84
10334,196564948.53,20889375.7,41.05, foliada,Gneiss,0.17,868629.13,43.24
10335,253175112.36,30528955.12,34.28,Fanerítica,Gabro,0.18,190744.16,795.49
10336,174123249.0,4470014.73,52.42,Intermedia-Gruesa,Granito,0.48,924778.79,81.12
10337,182964858.31,28841611.48,28.97,Detrítica,Arenisca,0.07,1463.55,290.51
10338,304384660.64,30387955.0,33.62,Fanerítica,Gabro,0.17,55382.29,618.23
10339,142140596.53,34374451.9,51.4,Porfídica,Basalto,0.33,806455.5,42052.25
10340,188686426.4,42468223.73,30.19, foliada,Gneiss,0.07,2107.13,154.7
10341,158470285.21,18931352.38,32.64, foliada,Gneiss,0.38,608124.56,212.62
10342,177089036.26,5187568.59,60.94,Intermedia-Gruesa,Granito,0.26,392288.69,108.31
10343,183522098.15,15351984.36,35.44, foliada,Gneiss,0.12,668779.01,402.48
10344,151642316.85,-2874801.62,52.6,Porfídica,Basalto,0.36,902171.75,33878.97
10345,295814370.67,29749735.46,31.15,Fanerítica,Gabro,0.18,158066.96,959.93
10346,257647779.95,30813269.92,34.94,Fanerítica,Gabro,0.19,86648.26,547.66
10347,200425304.86,-1360812.23,49.36,Porfídica,Basalto,0.27,30646.76,39882.72
10348,226575725.52,21147065.41,41.14,Intermedia-Gruesa,Granito,0.22,751373.36,60.53
10349,242244433.03,28034952.83,38.27,Fanerítica,Gabro,0.13,380184.32,1021.58
10350,216080874.17,26499895.24,54.04,Afanítica,Andesita,0.26,3973485.21,25356.61
10351,210170533.49,28598176.84,40.14,Fanerítica,Gabro,0.19,1027976.24,681.63
10352,239387227.26,32331755.65,50.71,Afanítica,Andesita,0.28,4889509.35,21984.28
10353,211175259.74,24959206.88,33.42, foliada,Gneiss,0.35,419134.38,428.9
10354,47025446.52,35774456.07,60.11,Detrítica,Arenisca,0.55,11.5,346.48
10355,183549369.68,49125800.63,27.88, foliada,Gneiss,0.22,355861.96,469.72
10356,181856683.52,36580729.82,52.72,Porfídica,Basalto,0.32,598490.99,34020.04
10357,182678001.81,20326700.62,48.86,Intermedia-Gruesa,Granito,0.48,499433.67,0.35
10358,151472535.66,21800811.58,52.69,Intermedia-Gruesa,Granito,0.26,615110.68,83.01
10359,249734584.31,35756911.76,39.33,Afanítica,Andesita,0.28,9285435.79,20297.31
10360,198119062.42,15834785.24,50.17,Intermedia-Gruesa,Granito,0.06,389850.9,62.02
10361,192845685.9,41775674.13,34.75, foliada,Gneiss,0.07,498821.36,129.72
10362,136474578.01,34578215.59,50.19,Porfídica,Basalto,0.39,1300233.07,46176.73
10363,200856938.5,23736594.54,46.99,Intermedia-Gruesa,Granito,0.17,629791.07,47.63
10364,254124073.61,31072898.95,37.25,Fanerítica,Gabro,0.16,391638.78,690.92
10365,283727888.75,29294701.83,32.32,Fanerítica,Gabro,0.14,333586.74,639.84
10366,235885181.39,30078149.68,30.46,Fanerítica,Gabro,0.17,1106359.2,905.04
10367,179323893.49,16810227.81,60.92,Intermedia-Gruesa,Granito,0.04,597740.17,125.16
10368,158294472.75,-11918217.68,37.3,Detrítica,Arenisca,0.34,2229.92,417.83
10369,187356505.36,20766723.63,32.44, foliada,Gneiss,0.22,856993.34,176.1
10370,116167219.88,31578215.13,49.8,Porfídica,Basalto,0.14,686915.22,32511.16
10371,181507111.54,28489685.46,37.8, foliada,Gneiss,0.0,385356.13,346.01
10372,249162396.46,30066835.57,37.92,Fanerítica,Gabro,0.16,4225.65,694.88
10373,167407955.19,42045233.16,38.06, foliada,Gneiss,0.23,557436.51,147.65
10374,211419295.07,29021097.84,36.28,Fanerítica,Gabro,0.16,597478.79,856.81
10375,202099176.25,42928940.97,58.44,Intermedia-Gruesa,Granito,0.22,828328.3,72.62
10376,292381909.46,28323744.18,42.65,Afanítica,Andesita,0.28,302401.97,21346.02
10377,321390395.07,29031440.46,38.71,Fanerítica,Gabro,0.13,892890.03,795.17
10378,286390970.48,31032692.71,32.98,Fanerítica,Gabro,0.18,439291.97,828.32
10379,94856692.57,12178083.1,28.43,Detrítica,Arenisca,0.21,2750.37,371.14
10380,170673215.31,37694697.25,49.34,Intermedia-Gruesa,Granito,0.03,773540.43,76.19
10381,213179478.95,44052024.7,50.61,Porfídica,Basalto,0.32,535240.53,36513.21
10382,234997236.52,26761716.78,48.04,Intermedia-Gruesa,Granito,0.11,168964.26,119.9
10383,191123168.82,23446776.03,29.71, foliada,Gneiss,0.14,542404.57,94.04
10384,114278126.84,34946651.82,46.54,Detrítica,Arenisca,0.17,174.52,186.22
10385,230961904.68,30216431.89,38.03,Fanerítica,Gabro,0.13,100729.16,1028.94
10386,182960829.1,33321766.74,47.81,Intermedia-Gruesa,Granito,0.53,805735.13,63.24
10387,219248310.37,13846541.85,49.99,Afanítica,Andesita,0.3,115569.07,17642.89
10388,182240900.32,49157988.77,29.03, foliada,Gneiss,0.07,72351.53,444.23
10389,142607497.38,16544121.65,30.52,Detrítica,Arenisca,0.23,30.49,344.2
10390,230809120.7,5587019.77,46.92,Intermedia-Gruesa,Granito,0.33,649101.6,65.0
10391,220144157.55,40312244.62,45.25,Intermedia-Gruesa,Granito,0.28,801463.74,114.07
10392,298205042.43,30141198.72,48.78,Afanítica,Andesita,0.29,5474195.8,26783.42
10393,185636080.85,20662682.98,42.73,Afanítica,Andesita,0.29,1251133.92,24688.87
10394,163409293.47,13314397.16,55.5,Intermedia-Gruesa,Granito,0.17,890351.81,43.18
10395,134521082.5,24183667.3,38.04,Detrítica,Arenisca,0.3,229.39,510.52
10396,286962944.8,23155989.93,37.84,Afanítica,Andesita,0.22,6336758.84,11744.97
10397,156094687.26,47787373.21,49.56,Porfídica,Basalto,0.3,359787.58,38295.39
10398,173733422.12,31683268.41,28.19, foliada,Gneiss,0.1,422626.1,149.73
10399,191676352.05,31853073.97,31.34, foliada,Gneiss,0.19,542893.08,433.43
10400,121929644.54,25641023.33,45.03,Detrítica,Arenisca,0.41,1054.93,302.52
10401,203546555.34,3971718.12,56.9,Intermedia-Gruesa,Granito,0.24,383807.58,30.93
10402,189306015.54,48957011.14,50.88,Porfídica,Basalto,0.22,820790.21,41251.76
10403,279566810.97,25832905.54,43.74,Afanítica,Andesita,0.29,1612863.7,19267.73
10404,207372207.72,29352986.87,38.13,Fanerítica,Gabro,0.19,490125.02,485.49
10405,249490847.91,28390565.81,32.6,Fanerítica,Gabro,0.19,995708.36,530.92
10406,264462800.25,30259899.11,30.89,Fanerítica,Gabro,0.2,924781.94,655.07
10407,269513579.85,30202029.31,33.51,Fanerítica,Gabro,0.19,842864.34,812.73
10408,154760044.51,-14718927.79,51.57,Porfídica,Basalto,0.18,1415494.44,25786.76
10409,197813567.66,46350097.49,54.66,Intermedia-Gruesa,Granito,0.16,595283.63,36.93
10410,332347211.08,30644231.14,29.24,Fanerítica,Gabro,0.09,721121.24,800.53
10411,171491126.83,58811726.5,41.53, foliada,Gneiss,0.17,284173.65,142.13
10412,229307187.01,30041019.01,44.56,Afanítica,Andesita,0.22,9604854.87,22543.48
10413,171393172.42,48447195.55,26.68, foliada,Gneiss,0.34,645819.78,453.11
10414,147726817.96,64635485.94,50.74,Porfídica,Basalto,0.32,162319.51,50590.35
10415,287964984.46,28849470.84,35.95,Fanerítica,Gabro,0.2,771633.6,1054.36
10416,262311030.07,30741207.52,30.59,Fanerítica,Gabro,0.15,792028.15,949.29
10417,223472053.56,18569755.82,45.64,Intermedia-Gruesa,Granito,0.23,1106855.45,21.91
10418,168696005.79,51091119.87,51.54,Intermedia-Gruesa,Granito,0.21,179256.78,133.71
10419,197314135.79,69042824.05,54.21,Porfídica,Basalto,0.31,399106.26,40887.62
10420,185419853.14,32325624.44,38.74, foliada,Gneiss,0.45,564279.56,292.68
10421,141741927.89,9715726.28,39.7,Detrítica,Arenisca,0.0,2768.06,214.87
10422,87630418.32,40147609.76,18.28,Detrítica,Arenisca,0.29,2738.26,181.53
10423,304554789.22,31826255.32,41.07,Afanítica,Andesita,0.27,5208982.82,18042.84
10424,193224366.05,27603218.34,47.86,Intermedia-Gruesa,Granito,0.07,482872.45,88.03
10425,183515812.27,31807064.4,55.9,Porfídica,Basalto,0.27,1141417.2,45455.33
