,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Textura,Nombre,Módulo de Poisson,Resistividad,Susceptibilidad
5424,186891237.53,40054022.79,45.44,Intermedia-Gruesa,Granito,0.39,335418.62,0.0
5425,291690411.47,28481831.86,35.97,Fanerítica,Gabro,0.14,249582.36,0.0
5426,249216336.05,15655272.18,48.01,Intermedia-Gruesa,Granito,0.33,407875.02,0.0
5427,176068277.56,34328249.08,35.94, foliada,Gneiss,0.27,425904.7,0.0
5428,184647723.92,10521531.4,47.66,Intermedia-Gruesa,Granito,0.4,176236.07,0.0
5429,143997893.44,31976094.49,54.07,Porfídica,Basalto,0.24,962911.34,0.04
5430,160579178.29,5869715.35,49.6,Intermedia-Gruesa,Granito,0.21,94637.36,0.0
5431,71602106.96,41335611.75,34.53,Detrítica,Arenisca,0.13,9007.43,0.0
5432,198417386.42,56472368.5,54.25,Porfídica,Basalto,0.42,480952.38,0.04
5433,229649757.62,35001935.35,55.33,Intermedia-Gruesa,Granito,0.21,266599.42,0.0
5434,208082144.77,58227124.24,51.43,Intermedia-Gruesa,Granito,0.36,301628.53,0.0
5435,177112397.1,12694591.55,45.49, foliada,Gneiss,0.17,681607.47,0.0
5436,212127027.16,24911351.45,41.45,Intermedia-Gruesa,Granito,0.21,523417.26,0.0
5437,144383102.48,56692416.58,56.88,Porfídica,Basalto,0.28,893444.26,0.03
5438,241840664.82,29620159.8,37.03,Fanerítica,Gabro,0.15,718362.49,0.0
5439,242386870.14,31003852.17,38.84,Fanerítica,Gabro,0.22,442640.05,0.0
5440,312389687.14,39024037.6,40.44,Afanítica,Andesita,0.26,7417423.69,0.02
5441,164914706.0,31581683.43,52.96,Porfídica,Basalto,0.39,5396.36,0.02
5442,141071550.55,33037414.02,40.71,Detrítica,Arenisca,0.03,1622.72,0.0
5443,196194138.5,37452260.45,39.63,Intermedia-Gruesa,Granito,0.03,579591.56,0.0
5444,203281138.47,23173394.84,41.78, foliada,Gneiss,0.12,160364.39,0.0
5445,209743983.64,39553991.79,52.51,Intermedia-Gruesa,Granito,0.34,977849.75,0.0
5446,54996144.6,8329224.06,58.2,Detrítica,Arenisca,0.2,3419.75,0.0
5447,194848429.74,10460778.92,28.92, foliada,Gneiss,0.25,772391.33,0.0
5448,115433081.94,25901241.01,34.22,Detrítica,Arenisca,0.1,6531.81,0.0
5449,176987968.27,33641937.07,39.0, foliada,Gneiss,0.21,559283.04,0.0
5450,184891663.13,28935281.64,38.03,Fanerítica,Gabro,0.1,620318.06,0.0
5451,162595257.58,30115453.67,33.77, foliada,Gneiss,0.09,1004873.7,0.0
5452,141681664.03,36655113.11,43.95,Detrítica,Arenisca,0.29,4339.4,0.0
5453,304866880.89,30365668.32,54.89,Afanítica,Andesita,0.21,12195480.99,0.02
5454,205207002.64,27486054.55,40.31,Afanítica,Andesita,0.28,241706.65,0.03
5455,194034006.76,24708976.34,53.53,Porfídica,Basalto,0.26,351182.28,0.04
5456,200069370.38,48596507.74,32.43, foliada,Gneiss,0.15,718736.64,0.0
5457,200737602.74,20189941.44,54.92,Porfídica,Basalto,0.23,37731.62,0.04
5458,180474769.5,35940548.61,43.81,Intermedia-Gruesa,Granito,0.38,486866.03,0.0
5459,250388882.55,29579010.21,38.15,Fanerítica,Gabro,0.21,888320.08,0.0
5460,178112559.3,61620334.73,54.08,Porfídica,Basalto,0.26,295973.34,0.05
5461,235212295.02,58002114.94,52.81,Porfídica,Basalto,0.31,156714.3,0.03
5462,173243005.96,51872616.44,52.31,Intermedia-Gruesa,Granito,0.65,489161.88,0.0
5463,187870365.73,23842523.62,35.4, foliada,Gneiss,0.22,506768.08,0.0
5464,121165049.95,40132992.61,29.15,Detrítica,Arenisca,0.18,5121.04,0.0
5465,206377666.32,56126036.72,52.47,Intermedia-Gruesa,Granito,0.23,736965.0,0.0
5466,269703191.43,31031316.99,37.7,Fanerítica,Gabro,0.17,794607.14,0.0
5467,288072755.38,29359889.28,34.7,Fanerítica,Gabro,0.16,588783.13,0.0
5468,266297367.26,31901930.52,40.14,Fanerítica,Gabro,0.17,913559.01,0.0
5469,296855383.16,30295259.68,32.64,Fanerítica,Gabro,0.18,149485.82,0.0
5470,190726470.11,45322330.94,26.15, foliada,Gneiss,0.08,866465.88,0.0
5471,132927238.99,38839945.97,55.4,Porfídica,Basalto,0.41,525492.61,0.03
5472,208516908.24,24185865.58,41.08,Afanítica,Andesita,0.33,2686960.93,0.03
5473,335952596.65,31593780.14,53.2,Afanítica,Andesita,0.23,4083565.6,0.02
5474,95076188.13,39932230.5,30.29,Detrítica,Arenisca,0.33,5508.67,0.0
5475,206670540.01,3603373.75,51.92,Intermedia-Gruesa,Granito,0.16,418602.82,0.0
5476,277559819.13,30593157.39,32.94,Fanerítica,Gabro,0.14,981996.73,0.0
5477,186178676.61,38853715.54,56.93,Intermedia-Gruesa,Granito,0.12,163806.93,0.0
5478,213236357.64,15171870.17,51.23,Intermedia-Gruesa,Granito,0.05,879083.14,0.0
5479,162156659.14,34030648.78,53.07,Porfídica,Basalto,0.23,1039255.22,0.04
5480,231057661.78,29669515.07,35.94,Fanerítica,Gabro,0.18,685351.88,0.0
5481,205030068.64,19109674.62,46.39, foliada,Gneiss,0.23,567879.55,0.0
5482,168176480.34,32947692.72,50.35,Intermedia-Gruesa,Granito,0.2,2730.48,0.0
5483,135552015.94,68083655.02,55.82,Porfídica,Basalto,0.36,204303.23,0.04
5484,177276971.92,40701763.28,34.66, foliada,Gneiss,0.17,876757.89,0.0
5485,209215287.66,30991372.53,36.75,Fanerítica,Gabro,0.16,947913.84,0.0
5486,263162347.48,32027364.58,34.62,Fanerítica,Gabro,0.12,369922.03,0.0
5487,182278840.41,14946239.14,51.59,Intermedia-Gruesa,Granito,0.39,446539.77,0.0
5488,162298184.33,60507264.6,54.92,Porfídica,Basalto,0.31,890981.29,0.03
5489,152251275.73,71598308.36,57.28,Intermedia-Gruesa,Granito,0.5,294903.38,0.0
5490,338960045.21,24400333.48,38.87,Afanítica,Andesita,0.31,3004712.15,0.03
5491,167260062.82,41216827.22,45.74, foliada,Gneiss,0.09,1384361.39,0.0
5492,92277876.7,7720759.37,34.18,Detrítica,Arenisca,0.45,3085.7,0.0
5493,219602337.54,49347571.44,34.22, foliada,Gneiss,0.01,439852.19,0.0
5494,147913588.78,22520213.64,48.65,Intermedia-Gruesa,Granito,0.33,255571.64,0.0
5495,213353226.06,67573667.68,50.59,Porfídica,Basalto,0.27,892606.76,0.03
5496,183569691.43,7049582.61,36.62, foliada,Gneiss,0.28,604570.35,0.0
5497,94641520.71,6438111.55,42.25,Detrítica,Arenisca,0.23,5961.67,0.0
5498,201763229.85,51186216.44,46.35,Intermedia-Gruesa,Granito,0.35,205786.52,0.0
5499,185590672.27,19136158.35,31.98, foliada,Gneiss,0.0,836179.74,0.0
5500,121953920.01,-3125685.16,40.43, foliada,Gneiss,0.32,578307.81,0.0
5501,226508577.15,28449182.59,32.41,Fanerítica,Gabro,0.16,561823.93,0.0
5502,168651551.81,54107040.97,48.72,Intermedia-Gruesa,Granito,0.7,719277.13,0.0
5503,128588413.72,30384778.34,37.18,Fanerítica,Gabro,0.1,173866.7,0.0
5504,183036893.54,83048801.42,51.83,Porfídica,Basalto,0.3,328535.01,0.06
5505,225979102.82,30700945.94,34.05,Fanerítica,Gabro,0.12,624586.18,0.0
5506,158480318.97,27765068.53,30.78, foliada,Gneiss,0.1,375313.57,0.0
5507,98857675.74,3884406.34,34.37,Detrítica,Arenisca,0.29,3909.16,0.0
5508,161131385.22,28059433.33,32.58,Fanerítica,Gabro,0.18,312294.79,0.0
5509,224731836.75,23326862.9,50.13,Intermedia-Gruesa,Granito,0.38,589003.08,0.0
5510,241849749.55,29862997.25,38.3,Fanerítica,Gabro,0.17,396021.59,0.0
5511,310957310.11,30113859.14,35.41,Fanerítica,Gabro,0.2,1552059.7,0.0
5512,115830844.08,12765162.65,52.39,Porfídica,Basalto,0.3,186830.9,0.05
5513,183687375.7,14351114.39,32.36, foliada,Gneiss,0.05,664891.58,0.0
5514,256100508.22,29628164.67,37.81,Fanerítica,Gabro,0.14,1005866.25,0.0
5515,301307504.29,27948329.61,28.58,Fanerítica,Gabro,0.19,617954.53,0.0
5516,191361333.94,69204170.41,49.24,Intermedia-Gruesa,Granito,0.28,659682.62,0.0
5517,189830568.72,48432087.43,32.59, foliada,Gneiss,0.3,572188.75,0.0
5518,184348182.47,50045939.09,50.52,Porfídica,Basalto,0.33,552898.68,0.03
5519,244089045.52,61724761.27,43.8,Intermedia-Gruesa,Granito,0.19,364044.69,0.0
5520,101512765.89,36728414.64,25.84,Detrítica,Arenisca,0.35,9269.71,0.0
5521,281868498.5,28263583.93,34.33,Fanerítica,Gabro,0.18,52307.98,0.0
5522,168589939.3,32297972.36,29.35,Fanerítica,Gabro,0.2,872371.9,0.0
5523,225473814.09,47010970.06,54.27,Intermedia-Gruesa,Granito,0.44,400779.64,0.0
5524,114412499.04,20464942.29,43.01,Afanítica,Andesita,0.31,10304149.64,0.02
5525,232513354.26,29524015.96,40.69,Fanerítica,Gabro,0.13,780427.99,0.0
5526,178314138.3,19517590.86,29.9, foliada,Gneiss,0.13,89349.55,0.0
5527,172589208.09,34567215.57,36.11, foliada,Gneiss,0.21,61408.03,0.0
5528,98847691.99,22202743.73,28.19,Detrítica,Arenisca,0.14,7198.57,0.0
5529,183801072.62,8501147.76,50.0, foliada,Gneiss,0.41,524209.05,0.0
5530,206669759.07,27349748.55,30.25, foliada,Gneiss,0.02,675650.94,0.0
5531,187772002.7,27466764.62,43.12, foliada,Gneiss,0.27,428725.0,0.0
5532,199285061.43,34278659.66,29.73, foliada,Gneiss,0.19,197366.87,0.0
5533,125984875.71,54642502.99,51.72,Porfídica,Basalto,0.25,890083.0,0.03
5534,167936121.22,4034640.22,37.86, foliada,Gneiss,0.0,79324.94,0.0
5535,200791378.46,21360785.05,57.47,Intermedia-Gruesa,Granito,0.36,245833.9,0.0
5536,220456761.19,-2602339.0,53.77,Intermedia-Gruesa,Granito,0.23,450792.87,0.0
5537,208062690.17,32692639.14,51.72,Intermedia-Gruesa,Granito,0.19,477015.77,0.0
5538,64608570.42,31240313.84,37.66,Detrítica,Arenisca,0.24,5169.05,0.0
5539,274213436.2,29394464.09,30.35,Fanerítica,Gabro,0.09,354365.74,0.0
5540,195119643.15,30002753.54,32.3,Fanerítica,Gabro,0.22,457135.62,0.0
5541,226885981.64,-9149634.27,54.83,Intermedia-Gruesa,Granito,0.32,458370.84,0.0
5542,209460506.91,20430155.37,54.49,Intermedia-Gruesa,Granito,0.4,377050.34,0.0
5543,190620431.79,17475346.91,30.65, foliada,Gneiss,0.42,654756.9,0.0
5544,189411948.95,10021100.63,54.07,Porfídica,Basalto,0.18,812552.88,0.05
5545,176572881.59,44733701.25,32.01, foliada,Gneiss,0.01,450335.19,0.0
5546,247342581.89,28991874.89,52.8,Intermedia-Gruesa,Granito,0.11,831954.06,0.0
5547,170962375.72,33816899.79,28.16, foliada,Gneiss,0.03,813370.96,0.0
5548,219940802.3,26222230.49,31.72, foliada,Gneiss,0.31,695609.46,0.0
5549,194921845.23,73658925.7,51.23,Porfídica,Basalto,0.39,53204.4,0.05
5550,172078547.72,35218110.9,33.22, foliada,Gneiss,0.14,253558.34,0.0
5551,134293788.17,64630231.28,28.3,Detrítica,Arenisca,0.43,6516.77,0.0
5552,180323349.33,51546498.61,47.47, foliada,Gneiss,0.44,198615.1,0.0
5553,157791548.86,35070271.5,53.59,Porfídica,Basalto,0.1,537312.75,0.02
5554,264467360.77,30518385.66,28.35,Fanerítica,Gabro,0.12,426856.22,0.0
5555,187241152.16,41856118.05,50.28,Porfídica,Basalto,0.38,281274.96,0.05
5556,139078414.52,51350816.92,44.32, foliada,Gneiss,0.31,1237381.41,0.0
5557,230437736.1,30133541.77,35.95,Fanerítica,Gabro,0.16,711430.22,0.0
5558,194612970.36,29532400.71,34.82,Fanerítica,Gabro,0.15,6518.61,0.0
5559,170463261.03,1376772.71,29.66, foliada,Gneiss,0.32,277969.38,0.0
5560,178165112.48,20393824.03,41.82, foliada,Gneiss,0.17,856544.59,0.0
5561,124765545.78,30098201.43,38.73,Afanítica,Andesita,0.25,810054.92,0.04
5562,181834813.69,20328562.49,41.9,Afanítica,Andesita,0.3,12135091.9,0.02
5563,54808855.63,18318973.85,45.08,Detrítica,Arenisca,0.29,5660.55,0.0
5564,276812973.63,30192664.75,32.4,Fanerítica,Gabro,0.15,274360.99,0.0
5565,244239915.67,14284296.68,52.1,Intermedia-Gruesa,Granito,0.43,399418.24,0.0
5566,280177055.44,18843858.28,47.14,Afanítica,Andesita,0.27,8384243.79,0.02
5567,207621799.92,32395700.46,33.17,Fanerítica,Gabro,0.17,206244.45,0.0
5568,191781961.12,28845723.95,29.83,Fanerítica,Gabro,0.18,385697.69,0.0
5569,203865602.21,27996777.33,42.32, foliada,Gneiss,0.14,587868.84,0.0
5570,110031064.15,14659684.08,58.72,Detrítica,Arenisca,0.1,1662.26,0.0
5571,181292903.9,47418571.15,52.17,Porfídica,Basalto,0.41,933232.66,0.04
5572,248896123.24,29349190.59,37.02,Fanerítica,Gabro,0.15,849962.87,0.0
5573,114943688.36,56611510.61,48.48,Porfídica,Basalto,0.1,693493.8,0.05
5574,172002862.32,-6866865.01,50.38,Porfídica,Basalto,0.18,434107.52,0.03
5575,191271467.58,31016575.84,32.54,Fanerítica,Gabro,0.16,1018661.95,0.0
5576,177852355.7,48744694.44,33.0, foliada,Gneiss,0.16,1117571.61,0.0
5577,210274425.4,14400807.07,45.76,Intermedia-Gruesa,Granito,0.18,904031.15,0.0
5578,218715275.02,45318847.66,46.55,Intermedia-Gruesa,Granito,0.01,822235.45,0.0
5579,128338183.12,27170479.87,52.5,Porfídica,Basalto,0.37,815644.1,0.07
5580,199433769.53,8997773.01,49.93,Porfídica,Basalto,0.14,60728.09,0.04
5581,191054657.87,30091867.76,55.3,Intermedia-Gruesa,Granito,0.27,567937.71,0.0
5582,197682916.65,14442184.14,37.22, foliada,Gneiss,0.38,195369.72,0.0
5583,183336723.0,18809209.73,36.18, foliada,Gneiss,0.3,513470.83,0.0
5584,290593774.88,29956753.67,38.9,Fanerítica,Gabro,0.13,413984.09,0.0
5585,223468496.16,29312818.83,32.63,Fanerítica,Gabro,0.21,645169.54,0.0
5586,187069375.77,26092105.77,42.89, foliada,Gneiss,0.11,679094.29,0.0
5587,214719557.04,45816339.92,50.98,Porfídica,Basalto,0.45,608670.02,0.04
5588,179758576.3,8476060.22,38.0, foliada,Gneiss,0.43,127518.74,0.0
5589,265923595.71,25698051.36,37.17,Afanítica,Andesita,0.28,4745056.91,0.02
5590,234628835.48,28639836.83,36.69,Fanerítica,Gabro,0.14,1127703.78,0.0
5591,251817112.71,29476562.5,32.48,Fanerítica,Gabro,0.19,553643.69,0.0
5592,156724538.53,38732401.61,48.13,Porfídica,Basalto,0.25,637466.25,0.04
5593,175185695.07,18578436.79,50.79,Intermedia-Gruesa,Granito,0.16,666774.64,0.0
5594,180518520.2,51708658.15,51.36,Porfídica,Basalto,0.23,139230.31,0.06
5595,220095104.98,26676794.08,40.0, foliada,Gneiss,0.29,345305.32,0.0
5596,172678483.58,22241079.86,43.17, foliada,Gneiss,0.39,263034.66,0.0
5597,215069633.81,33655900.4,36.98, foliada,Gneiss,0.4,532529.29,0.0
5598,141445851.02,34733545.06,41.35,Intermedia-Gruesa,Granito,0.28,91688.72,0.0
5599,200023353.35,22068663.92,48.24,Intermedia-Gruesa,Granito,0.28,636209.61,0.0
5600,274314081.66,28543145.94,36.02,Fanerítica,Gabro,0.2,1331293.97,0.0
5601,193301437.58,26682485.1,35.75, foliada,Gneiss,0.16,727679.21,0.0
5602,143460977.91,30673750.58,48.16,Porfídica,Basalto,0.43,908465.13,0.03
5603,203549474.81,29980650.53,37.7, foliada,Gneiss,0.29,134512.85,0.0
5604,211332596.08,22504799.21,48.69,Porfídica,Basalto,0.35,625782.41,0.05
5605,163313596.3,24063075.78,45.83,Intermedia-Gruesa,Granito,0.46,963389.73,0.0
5606,181510201.91,45322476.94,51.02,Porfídica,Basalto,0.38,607974.1,0.05
5607,197994244.78,21956993.47,26.59, foliada,Gneiss,0.28,587194.9,0.0
5608,149312945.19,35172092.38,37.24, foliada,Gneiss,0.19,485689.82,0.0
5609,196094685.16,3819767.44,42.7,Intermedia-Gruesa,Granito,0.44,885213.72,0.0
5610,153970368.95,28552479.51,39.39, foliada,Gneiss,0.38,624916.75,0.0
5611,195058839.84,11792729.05,21.71, foliada,Gneiss,0.51,386265.22,0.0
5612,194142024.77,34280204.0,53.56,Porfídica,Basalto,0.24,32949.38,0.04
5613,270939152.15,53037588.9,51.05,Intermedia-Gruesa,Granito,0.27,601343.75,0.0
5614,191453724.42,21171170.92,32.75, foliada,Gneiss,0.47,227007.21,0.0
5615,166277688.09,10739967.32,40.65, foliada,Gneiss,0.66,38401.25,0.0
5616,255097797.66,27633907.5,55.89,Afanítica,Andesita,0.29,5148405.63,0.02
5617,155080722.37,50336074.78,45.39,Intermedia-Gruesa,Granito,0.06,454836.18,0.0
5618,262935256.29,30921075.77,30.9,Fanerítica,Gabro,0.2,174841.03,0.0
5619,205913442.43,28123784.49,35.69,Fanerítica,Gabro,0.19,1140984.67,0.0
5620,217893941.53,17933893.05,55.72,Porfídica,Basalto,0.27,653434.04,0.04
5621,276086981.73,30088681.05,29.97,Fanerítica,Gabro,0.16,573306.38,0.0
5622,191495196.93,69456795.67,54.92,Porfídica,Basalto,0.26,508378.4,0.05
5623,187491548.61,62072393.85,48.82,Porfídica,Basalto,0.35,202680.92,0.06
5624,206831624.44,33182175.18,54.65,Detrítica,Arenisca,0.31,1933.57,0.0
5625,286856200.89,31730210.34,32.12,Fanerítica,Gabro,0.23,858559.94,0.0
5626,172709970.95,36426774.7,26.45, foliada,Gneiss,0.08,784881.9,0.0
5627,191971192.08,32711048.39,55.53,Intermedia-Gruesa,Granito,0.11,555114.56,0.0
5628,336955019.63,25583419.36,47.22,Afanítica,Andesita,0.18,204476.82,0.01
5629,197264870.06,35499306.05,50.88,Intermedia-Gruesa,Granito,0.37,660118.17,0.0
5630,235691756.65,52838443.85,35.79,Intermedia-Gruesa,Granito,0.29,215105.23,0.0
5631,93937527.87,19712904.24,41.31,Detrítica,Arenisca,0.1,5637.78,0.0
5632,67999912.04,30327033.35,56.94,Detrítica,Arenisca,0.09,4908.82,0.0
5633,206555079.8,49644933.73,52.94,Porfídica,Basalto,0.21,625293.42,0.03
5634,171149592.86,30348857.28,44.64,Intermedia-Gruesa,Granito,0.48,183855.28,0.0
5635,214308958.81,30569628.98,34.73,Fanerítica,Gabro,0.19,625877.18,0.0
5636,123375371.06,54882812.91,51.23,Porfídica,Basalto,0.16,329886.47,0.03
5637,165982394.18,42883419.1,29.64, foliada,Gneiss,0.25,581780.14,0.0
5638,167215731.8,30717098.31,33.13, foliada,Gneiss,0.58,415370.61,0.0
5639,209959424.75,40317103.25,49.73,Intermedia-Gruesa,Granito,0.46,534210.99,0.0
5640,161003363.31,43217120.8,48.55,Intermedia-Gruesa,Granito,0.35,1070865.91,0.0
5641,209511395.34,56830570.19,46.7,Intermedia-Gruesa,Granito,0.22,247937.33,0.0
5642,271395032.95,29538121.0,34.76,Fanerítica,Gabro,0.16,1047553.94,0.0
5643,200665997.26,19000436.38,44.94,Intermedia-Gruesa,Granito,0.44,97971.54,0.0
5644,182394495.7,37537357.56,49.2,Intermedia-Gruesa,Granito,0.24,717021.04,0.0
5645,258805726.71,25017968.26,50.77,Afanítica,Andesita,0.35,5166822.68,0.02
5646,170967687.58,57899002.07,51.12,Porfídica,Basalto,0.42,29975.79,0.03
5647,155988649.43,29071304.51,45.12, foliada,Gneiss,0.17,275031.48,0.0
5648,170135201.54,29999785.3,30.12, foliada,Gneiss,0.21,298396.14,0.0
5649,217597317.07,28508957.88,32.01,Fanerítica,Gabro,0.17,783707.76,0.0
5650,198954758.72,38984299.24,29.91, foliada,Gneiss,0.27,402160.0,0.0
5651,218229639.06,11950244.47,53.55,Intermedia-Gruesa,Granito,0.02,591409.33,0.0
5652,177057655.62,39011774.58,31.53, foliada,Gneiss,0.09,637601.55,0.0
5653,190108831.86,27784899.59,39.74, foliada,Gneiss,0.17,760224.08,0.0
5654,188640966.36,32973915.5,49.85,Intermedia-Gruesa,Granito,0.15,539847.21,0.0
5655,101113096.95,15817772.8,40.86,Detrítica,Arenisca,0.19,8327.87,0.0
5656,219041405.27,29931659.1,34.26,Fanerítica,Gabro,0.2,81852.96,0.0
5657,71647361.05,-2178756.13,35.3,Detrítica,Arenisca,0.19,7344.8,0.0
5658,240284876.23,32292490.71,34.48,Fanerítica,Gabro,0.16,884500.35,0.0
5659,155832578.74,13088112.09,45.68,Porfídica,Basalto,0.29,400576.46,0.04
5660,155528043.82,48348499.4,35.71, foliada,Gneiss,0.2,457873.59,0.0
5661,196265046.73,47894368.59,55.27,Porfídica,Basalto,0.29,643660.96,0.04
5662,317257711.34,37673967.82,48.68,Afanítica,Andesita,0.25,6069568.94,0.02
5663,147517358.55,51879173.09,34.73, foliada,Gneiss,0.28,778367.78,0.0
5664,208276831.1,11328230.43,56.63,Intermedia-Gruesa,Granito,0.24,547372.68,0.0
5665,192589860.04,23864562.03,32.88, foliada,Gneiss,0.4,788333.9,0.0
5666,176630237.08,56188680.78,33.53, foliada,Gneiss,0.25,871558.1,0.0
5667,202422760.33,53863190.03,57.87,Intermedia-Gruesa,Granito,0.05,993102.85,0.0
5668,138827369.94,19929594.56,32.78, foliada,Gneiss,0.25,805454.01,0.0
5669,199159369.04,24279828.56,35.59, foliada,Gneiss,0.45,474669.87,0.0
5670,180520181.0,7885343.26,42.55,Intermedia-Gruesa,Granito,0.32,243538.03,0.0
5671,207902157.36,54874446.3,25.3, foliada,Gneiss,0.44,783879.14,0.0
5672,135684792.29,27413191.83,45.13,Afanítica,Andesita,0.21,7426181.48,0.02
5673,267247743.83,29565927.01,51.38,Intermedia-Gruesa,Granito,0.54,891708.69,0.0
5674,214120123.85,58828665.72,53.32,Porfídica,Basalto,0.41,831418.12,0.04
5675,185535242.3,27884965.06,36.06, foliada,Gneiss,0.31,738275.72,0.0
5676,279236598.16,18566546.4,44.05,Afanítica,Andesita,0.29,5995108.0,0.02
5677,158018218.23,7695136.4,27.22, foliada,Gneiss,0.26,179464.99,0.0
5678,212585594.83,22946133.97,60.61,Intermedia-Gruesa,Granito,0.28,270565.31,0.0
5679,143431036.3,25128855.88,29.75, foliada,Gneiss,0.19,128999.04,0.0
5680,152316236.53,40013229.13,52.57,Porfídica,Basalto,0.35,144013.32,0.03
5681,286588561.97,30116919.81,34.71,Fanerítica,Gabro,0.15,1285231.33,0.0
5682,127788766.07,39570612.9,51.02,Porfídica,Basalto,0.21,427525.22,0.05
5683,178419308.73,14412681.91,32.42, foliada,Gneiss,0.39,786750.65,0.0
5684,220069664.9,25730310.38,38.24, foliada,Gneiss,0.48,283489.63,0.0
5685,152854086.0,7888685.35,41.49,Detrítica,Arenisca,0.26,7037.73,0.0
5686,160954267.35,19786126.63,35.42, foliada,Gneiss,0.2,220604.86,0.0
5687,190953927.14,22260240.09,29.99, foliada,Gneiss,0.12,194771.01,0.0
5688,194126473.99,43743271.77,56.01,Porfídica,Basalto,0.11,248937.88,0.04
5689,249457461.38,28974653.18,32.28,Fanerítica,Gabro,0.14,494258.0,0.0
5690,176741960.81,41784529.26,28.96, foliada,Gneiss,0.23,415788.52,0.0
5691,148670168.02,39752565.85,34.63, foliada,Gneiss,0.24,157283.03,0.0
5692,189217497.93,52985314.38,37.56,Intermedia-Gruesa,Granito,0.12,630032.79,0.0
5693,281601883.0,21348225.79,42.8,Afanítica,Andesita,0.27,8299726.38,0.02
5694,200927613.8,60580521.12,52.5,Intermedia-Gruesa,Granito,0.08,446602.1,0.0
5695,187189858.36,24918589.88,28.1, foliada,Gneiss,0.25,466885.21,0.0
5696,175034278.93,11231291.84,51.34,Porfídica,Basalto,0.32,358778.56,0.04
5697,186404648.98,15818301.12,51.36,Porfídica,Basalto,0.16,534775.61,0.05
5698,196032061.2,35088344.35,37.92, foliada,Gneiss,0.17,140931.93,0.0
5699,19584029.62,29730326.22,41.21,Detrítica,Arenisca,0.22,1842.18,0.0
5700,276144905.22,29468141.02,43.19,Afanítica,Andesita,0.28,3612172.53,0.02
5701,218493452.27,32833399.12,39.81,Intermedia-Gruesa,Granito,0.5,321364.21,0.0
5702,87925817.48,19797355.14,61.12,Detrítica,Arenisca,0.34,10677.03,0.0
5703,157848316.89,55797273.75,53.76,Porfídica,Basalto,0.15,716854.15,0.03
5704,219828891.37,51079628.92,58.12,Intermedia-Gruesa,Granito,0.37,301408.88,0.0
5705,177848459.19,17300553.92,52.21,Porfídica,Basalto,0.45,636977.03,0.04
5706,294437119.65,30062650.05,36.82,Fanerítica,Gabro,0.26,1223029.6,0.0
5707,143407101.56,25202174.21,51.16,Porfídica,Basalto,0.2,287577.44,0.04
5708,200178279.37,45473835.46,51.14,Porfídica,Basalto,0.29,404261.03,0.04
5709,194850780.06,16590654.07,38.44, foliada,Gneiss,0.13,489693.95,0.0
5710,195444465.95,36517940.94,50.35,Intermedia-Gruesa,Granito,0.09,696205.44,0.0
5711,198579935.2,1512794.64,34.09, foliada,Gneiss,0.34,955194.81,0.0
5712,113646753.5,13018414.26,55.21,Detrítica,Arenisca,0.44,183.02,0.0
5713,168422334.76,35741492.3,35.32, foliada,Gneiss,0.21,494386.47,0.0
5714,184131516.83,62993000.83,44.86,Intermedia-Gruesa,Granito,0.08,193493.51,0.0
5715,167601288.46,17627488.27,32.51, foliada,Gneiss,0.09,864465.92,0.0
5716,185582693.43,38266312.43,41.52, foliada,Gneiss,0.31,421070.69,0.0
5717,273930686.63,35974253.43,51.84,Afanítica,Andesita,0.34,5220660.97,0.01
5718,278391035.64,29475319.54,34.52,Fanerítica,Gabro,0.18,400362.19,0.0
5719,185337605.72,48878862.17,47.89,Intermedia-Gruesa,Granito,0.15,366712.7,0.0
5720,205879191.99,20255918.0,45.27,Intermedia-Gruesa,Granito,0.25,636311.3,0.0
5721,199480687.23,33642366.64,39.35, foliada,Gneiss,0.45,169122.64,0.0
5722,254604501.28,37983656.28,48.77,Intermedia-Gruesa,Granito,0.29,697367.96,0.0
5723,258122365.05,30082276.35,37.84,Fanerítica,Gabro,0.15,842554.16,0.0
5724,208574926.76,46559820.51,49.55,Porfídica,Basalto,0.39,390861.34,0.04
5725,144134756.7,14536686.02,48.34,Intermedia-Gruesa,Granito,0.11,225147.15,0.0
5726,194325286.42,31479273.02,32.8, foliada,Gneiss,0.1,999449.3,0.0
5727,188026976.38,53037048.06,30.92, foliada,Gneiss,0.09,767338.94,0.0
5728,264294423.67,29237407.4,42.47,Fanerítica,Gabro,0.11,318482.8,0.0
5729,177745049.01,66785860.16,49.08,Porfídica,Basalto,0.37,887713.21,0.04
5730,247190583.94,47609361.98,55.35,Intermedia-Gruesa,Granito,0.37,854861.07,0.0
5731,170398668.78,40728949.02,35.86, foliada,Gneiss,0.14,835235.73,0.0
5732,246270846.36,28943985.27,36.78,Fanerítica,Gabro,0.13,643587.45,0.0
5733,215433678.31,29252135.97,32.21,Fanerítica,Gabro,0.21,668138.76,0.0
5734,168847903.28,44768949.22,54.62,Porfídica,Basalto,0.15,1160585.63,0.03
5735,130360774.46,13489131.5,35.8,Detrítica,Arenisca,0.3,5207.46,0.0
5736,152167204.26,43556555.79,41.12,Detrítica,Arenisca,0.36,4763.95,0.0
5737,189372634.91,49882618.21,54.99,Detrítica,Arenisca,0.45,8323.34,0.0
